MsgID.GLOBAL_POSITION,0.0000000,-122.3974490,37.7924799,0.0810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,7.3140000,-0.0600243,0.3761445,-0.0811286
MsgID.LOCAL_VELOCITY,7.3140000,-0.0000053,0.0000144,0.0000068
MsgID.LOCAL_POSITION,7.5650000,-0.0523032,0.4191809,-0.0824276
MsgID.LOCAL_VELOCITY,7.5650000,-0.0000154,0.0000024,0.0000082
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924799,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,7.8200000,-0.0347092,0.2243816,-0.0824994
MsgID.LOCAL_VELOCITY,7.8200000,0.0000232,0.0000008,0.0000098
MsgID.GLOBAL_POSITION,0.0000000,-122.3974507,37.7924801,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,8.0700000,-0.0451972,0.2627263,-0.0824993
MsgID.LOCAL_VELOCITY,8.0700000,0.0000081,-0.0000094,0.0000181
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924800,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924788,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,8.3200000,-0.1838124,0.3436803,-0.0824995
MsgID.LOCAL_VELOCITY,8.3200000,0.0000203,-0.0000202,0.0000116
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924802,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,8.5710000,-0.0227092,0.3051713,-0.0824994
